"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"1" 1 1 "t" "47" NA "-2.09" 0.042 0.042054451 "t(47) = -2.09, p = .042"
"2" 1 2 "t" "47" NA "-0.26" 0.8 0.79599941 "t(47) = -0.26, p = .80"
"3" 1 3 "t" "17" NA "4.91" 0.001 0.00013234 "t(17) = 4.91, p < .001"
"4" 1 4 "t" "17" NA "-5.29" 0.001 6e-05 "t(17) = -5.29, p < .001"
"5" 1 5 "t" "21" NA "2.91" 0.008 0.00837283 "t(21) = 2.91, p = .008"
"6" 1 6 "t" "21" NA "-1.83" 0.082 0.081482603 "t(21) = -1.83, p = .082"
"7" 1 7 "F" "1" "37" "7.78" 0.008 0.008298184 "F(1, 37) = 7.78, p = .008"
"8" 1 8 "F" "1" "37" "17.61" 0.001 0.000162888 "F(1, 37) = 17.61, p < .001"
"9" 1 9 "t" "17" NA "5.15" 0.001 8.02e-05 "t(17) = 5.15, p < .001"
"10" 1 10 "t" "17" NA "-5.59" 0.001 3.25e-05 "t(17) = -5.59, p < .001"
"11" 1 11 "t" "21" NA "2.79" 0.011 0.010972809 "t(21) = 2.79, p = .011"
"12" 1 12 "t" "21" NA "-0.5" 0.62 0.622274076 "t(21) = -0.50, p = .62"
"13" 1 13 "F" "1" "37" "16.43" 0.001 0.000249094 "F(1, 37) = 16.43, p < .001"
"14" 1 14 "F" "1" "37" "14.83" 0.001 0.000450961 "F(1, 37) = 14.83, p < .001"
"15" 1 15 "t" "19" NA "6.45" 0.001 3.5e-06 "t(19) = 6.45, p < .001"
"16" 1 16 "t" "19" NA "5.82" 0.001 1.32e-05 "t(19) = 5.82, p < .001"
"17" 1 17 "t" "22" NA "2.88" 0.009 0.008695125 "t(22) = 2.88, p = .009"
"18" 1 18 "t" "22" NA "4.25" 0.001 0.00032763 "t(22) = 4.25, p < .001"
"19" 1 19 "F" "1" "40" "11.61" 0.002 0.001507414 "F(1, 40) = 11.61, p = .002"
"20" 1 20 "F" "1" "40" "0.3" 0.58 0.586926015 "F(1, 40) = 0.30, p = .58"
"21" 1 21 "t" "18" NA "5.47" 0.001 3.4e-05 "t(18) = 5.47, p < .001"
"22" 1 22 "t" "22" NA "3.59" 0.002 0.00163029 "t(22) = 3.59, p = .002"
"23" 1 23 "F" "1" "39" "6.64" 0.014 0.013869957 "F(1, 39) = 6.64, p = .014"
"24" 1 24 "t" "19" NA "5.48" 0.001 2.75e-05 "t(19) = 5.48, p < .001"
"25" 1 25 "t" "19" NA "7.07" 0.001 9.98e-07 "t(19) = 7.07, p < .001"
"26" 1 26 "t" "22" NA "2.55" 0.018 0.018253005 "t(22) = 2.55, p = .018"
"27" 1 27 "t" "22" NA "2.51" 0.02 0.019926856 "t(22) = 2.51, p = .02"
"28" 1 28 "F" "1" "40" "6.83" 0.013 0.012571061 "F(1, 40) = 6.83, p = .013"
"29" 1 29 "F" "1" "40" "7.16" 0.011 0.010751221 "F(1, 40) = 7.16, p = .011"
"30" 1 30 "F" "1" "45" "4.51" 0.039 0.039228608 "F(1, 45) = 4.51, p = .039"
"31" 1 31 "F" "1" "46" "3.13" 0.084 0.08349326 "F(1, 46) = 3.13, p = .084"
"32" 1 32 "t" "17.68" NA "-2.67" 0.016 0.015779627 "t(17.68) = -2.67, p = .016"
"33" 1 33 "t" "16.41" NA "-2.95" 0.009 0.00921773 "t(16.41) = -2.95, p = .009"
"34" 1 34 "F" "4" "11" "7.12" 0.004 0.004402813 "F(4, 11) = 7.12, p = .004"
"35" 1 35 "t" "14" NA "5.38" 0.001 9.7e-05 "t(14) = 5.38, p < .001"
"36" 1 36 "t" "14" NA "4.99" 0.001 0.000198157 "t(14) = 4.99, p < .001"
"37" 1 37 "t" "14" NA "2.47" 0.027 0.026984364 "t(14) = 2.47, p = .027"
"38" 1 38 "t" "14" NA "2.43" 0.029 0.029142946 "t(14) = 2.43, p = .029"
"39" 1 39 "F" "2" "12" "8.38" 0.005 0.0052766 "F(2, 12) = 8.38, p = .005"
"40" 1 40 "t" "13" NA "3.95" 0.002 0.00166154 "t(13) = 3.95, p = .002"
"41" 1 41 "t" "13" NA "2.19" 0.048 0.04735889 "t(13) = 2.19, p = .048"
"42" 1 42 "F" "4" "10" "9.64" 0.002 0.001840743 "F(4, 10) = 9.64, p = .002"
"43" 1 43 "t" "14" NA "6.05" 0.001 2.99e-05 "t(14) = 6.05, p < .001"
"44" 1 44 "t" "14" NA "5.13" 0.001 0.000153012 "t(14) = 5.13, p < .001"
"45" 1 45 "F" "5" "34" "5.66" 0.001 0.000669269 "F(5, 34) = 5.66, p < .001"
"46" 1 46 "t" "39" NA "3.32" 0.002 0.001960247 "t(39) = 3.32, p = .002"
"47" 1 47 "t" "39" NA "2.25" 0.03 0.03016538 "t(39) = 2.25, p = .03"
"48" 1 48 "F" "2" "31" "8.29" 0.001 0.001306254 "F(2, 31) = 8.29, p = .001"
"49" 1 49 "F" "1" "32" "12.78" 0.001 0.001136495 "F(1, 32) = 12.78, p = .001"
"50" 1 50 "F" "1" "32" "0.059" 0.81 0.809633769 "F(1, 32) = 0.059, p = .81"
"51" 1 51 "t" "39" NA "3.35" 0.002 0.001802823 "t(39) = 3.35, p = .002"
"52" 1 52 "t" "39" NA "-1.95" 0.059 0.058391047 "t(39) = -1.95, p = .059"
"53" 2 53 "t" "111" NA "1.91" 0.058 0.058713939 "t(111) = 1.91, p = .058"
"54" 2 54 "t" "126" NA "-2.53" 0.01 0.012638686 "t(126) = -2.53, p = .01"
"55" 2 55 "t" "126" NA "-2.11" 0.04 0.036836127 "t(126) = -2.11, p = .04"
"56" 2 56 "F" "1" "76" "9.08" 0.004 0.003509663 "F(1, 76) = 9.08, p = .004"
"57" 2 57 "F" "1" "62" "6.34" 0.01 0.014401191 "F(1, 62) = 6.34, p = .01"
"58" 2 58 "F" "1" "77" "1.17" 0.28 0.282777215 "F(1, 77) = 1.17, p = .28"
"59" 2 59 "F" "1" "87" "316.88" 0.001 9.54e-31 "F(1, 87) = 316.88, p < .001"
"60" 2 60 "F" "1" "87" "813.58" 0.001 6.31e-46 "F(1, 87) = 813.58, p < .001"
"61" 2 61 "F" "1" "87" "22.77" 0.001 7.3e-06 "F(1, 87) = 22.77, p < .001"
"62" 2 62 "F" "1" "87" "1.72" 0.19 0.19314363 "F(1, 87) = 1.72, p = .19"
"63" 2 63 "F" "1" "73" "5.18" 0.03 0.025783053 "F(1, 73) = 5.18, p = .03"
"64" 2 64 "F" "1" "126" "0.12" 0.73 0.729612296 "F(1, 126) = 0.12, p = .73"
"65" 2 65 "t" "126" NA "2.03" 0.04 0.044461999 "t(126) = 2.03, p = .04"
"66" 2 66 "t" "77" NA "2.05" 0.04 0.043768727 "t(77) = 2.05, p = .04"
"67" 2 67 "t" "113" NA "2.05" 0.04 0.042678853 "t(113) 2.05, p = .04"
"68" 2 68 "t" "117" NA "1.78" 0.08 0.077671838 "t(117) = 1.78, p = .08"
"69" 2 69 "t" "83" NA "2.04" 0.04 0.044530227 "t(83) = 2.04, p = .04"
"70" 2 70 "t" "65" NA "2.12" 0.03 0.037828541 "t(65) = 2.12, p = .03"
"71" 2 71 "t" "66" NA "2.65" 0.01 0.01006412 "t(66) = 2.65, p = .01"
"72" 2 72 "Chi2" "1" NA "4.28" 0.04 0.038563348 "d (1) = 4.28, p = .04"
"73" 3 73 "F" "1" "120" "6.96" 0.01 0.009439936 "F(1, 120) = 6.96, p < .01"
"74" 3 74 "F" "1" "120" "14.45" 0.001 0.00022765 "F(1, 120) = 14.45, p < .001"
"75" 3 75 "F" "1" "120" "9.35" 0.001 0.002749872 "F(1, 120) = 9.35, p < .001"
"76" 3 76 "F" "1" "120" "5.91" 0.05 0.016533928 "F(1, 120) = 5.91, p < .05"
"77" 3 77 "F" "1" "120" "4.11" 0.05 0.044845841 "F(1, 120) = 4.11, p < .05"
"78" 3 78 "F" "1" "120" "9.06" 0.01 0.003185272 "F(1, 120) = 9.06, p < .01"
"79" 3 79 "F" "1" "120" "14.26" 0.001 0.000249105 "F(1, 120) = 14.26, p < .001"
