"";"fishTest.0.01";"fishTest.0.02";"fishTest.0.03";"fishTest.0.04";"fishTest.0.05";"fishTest.0.07";"fishTest.0.09";"fishTest.0.11";"fishTest.0.13";"fishTest.0.15";"fishTest.0.2";"fishTest.0.25";"fishTest.0.3";"fishTest.0.35";"fishTest.0.4";"fishTest.0.45";"fishTest.0.5";"fishTest.0.55";"fishTest.0.6";"fishTest.0.65";"fishTest.0.7";"fishTest.0.75";"fishTest.0.8";"fishTest.0.85";"fishTest.0.9";"fishTest.0.95";"fishTestCompl.0.01";"fishTestCompl.0.02";"fishTestCompl.0.03";"fishTestCompl.0.04";"fishTestCompl.0.05";"fishTestCompl.0.07";"fishTestCompl.0.09";"fishTestCompl.0.11";"fishTestCompl.0.13";"fishTestCompl.0.15";"fishTestCompl.0.2";"fishTestCompl.0.25";"fishTestCompl.0.3";"fishTestCompl.0.35";"fishTestCompl.0.4";"fishTestCompl.0.45";"fishTestCompl.0.5";"fishTestCompl.0.55";"fishTestCompl.0.6";"fishTestCompl.0.65";"fishTestCompl.0.7";"fishTestCompl.0.75";"fishTestCompl.0.8";"fishTestCompl.0.85";"fishTestCompl.0.9";"fishTestCompl.0.95"
"1";0,33;0,598;0,781;0,922;0,977;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,028;0,013;0,004;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"2";0,571;0,881;0,976;0,996;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,012;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"3";0,512;0,825;0,959;0,99;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0,016;0,003;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"4";0,403;0,77;0,923;0,978;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,012;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"5";0,221;0,34;0,457;0,503;0,592;0,677;0,801;0,849;0,903;0,929;0,961;0,984;0,995;0,996;0,999;1;1;1;1;1;1;1;1;1;1;0;0,053;0,03;0,019;0,017;0,014;0,007;0,003;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"6";0,827;0,982;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"7";0,215;0,379;0,51;0,644;0,741;0,872;0,937;0,972;0,99;0,994;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,054;0,029;0,032;0,006;0,009;0,002;0;0,001;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"8";0,457;0,782;0,932;0,985;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,017;0,007;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"9";0,907;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"10";0,449;0,738;0,869;0,935;0,977;0,993;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"11";0,146;0,177;0,238;0,299;0,332;0,454;0,531;0,614;0,722;0,785;0,906;0,968;0,991;0,999;0,999;1;1;1;1;1;1;1;1;1;1;1;0,065;0,057;0,034;0,031;0,024;0,004;0,005;0,003;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";0,319;0,48;0,668;0,772;0,842;0,925;0,967;0,975;0,986;0,997;0,999;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,023;0,006;0,003;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
"13";0,154;0,226;0,284;0,352;0,376;0,465;0,541;0,568;0,653;0,698;0,761;0,831;0,88;0,905;0,941;0,958;0,975;0,992;0,991;0,998;1;1;1;1;1;0;0,077;0,067;0,049;0,029;0,029;0,03;0,017;0,01;0,002;0,005;0,001;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"14";0,274;0,51;0,686;0,815;0,905;0,97;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,043;0,018;0,004;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"15";0,316;0,61;0,774;0,91;0,96;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,036;0,009;0,004;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"16";0,667;0,88;0,957;0,984;0,997;0,999;0,999;0,999;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,008;0,003;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"17";0,62;0,846;0,95;0,973;0,996;0,999;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0,013;0,003;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"18";0,948;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"19";0,275;0,452;0,661;0,749;0,851;0,939;0,985;0,991;0,999;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,048;0,028;0,012;0,003;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20";0,395;0,677;0,864;0,954;0,986;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,029;0,004;0,003;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"21";0,654;0,88;0,953;0,988;0,988;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,01;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
"22";0,42;0,685;0,84;0,942;0,974;0,993;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0,023;0,01;0,003;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"23";0,715;0,865;0,915;0,957;0,975;0,991;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"24";0,556;0,865;0,959;0,996;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,01;0,002;0,001;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"25";0,273;0,486;0,663;0,774;0,877;0,965;0,988;0,998;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,034;0,012;0,01;0,006;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"26";0,309;0,459;0,626;0,743;0,833;0,919;0,966;0,979;0,993;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0,044;0,025;0,014;0,005;0,004;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"27";0,105;0,089;0,127;0,122;0,14;0,143;0,144;0,157;0,152;0,191;0,243;0,281;0,303;0,364;0,438;0,533;0,604;0,702;0,771;0,873;0,932;0,977;0,994;0,999;1;1;0,099;0,091;0,095;0,1;0,082;0,067;0,065;0,066;0,065;0,063;0,049;0,029;0,032;0,025;0,018;0,011;0,006;0,003;0,004;0,003;0;0,001;0;0;0;0
"28";0,635;0,936;0,994;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"29";0,536;0,78;0,858;0,915;0,959;0,986;0,995;0,994;0,997;0,999;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,02;0,005;0,001;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"30";0,911;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
