"";"";"";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow";"pow"
"1";NA;7;0,102;0,107;0,089;0,11;0,12;0,105;0,126;0,137;0,184;0,179;0,174;0,21;0,22;0,255;0,282;0,33;0,331;0,385;0,408;0,437;0,492;0,523;0,556;0,601;0,652;0,683;0,717;0,775;0,787;0,816;0,843;0,868;0,895;0,886;0,921;0,927;0,951;0,963;0,98;0,974;0,987;0,984;0,992;0,991;0,993;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"2";NA;5;0,098;0,105;0,128;0,131;0,149;0,167;0,157;0,207;0,23;0,282;0,298;0,342;0,434;0,493;0,526;0,577;0,637;0,68;0,748;0,756;0,81;0,826;0,872;0,89;0,916;0,944;0,94;0,952;0,977;0,977;0,98;0,991;0,994;0,991;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"3";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";NA;11;0,105;0,094;0,1;0,12;0,131;0,151;0,172;0,209;0,254;0,262;0,343;0,383;0,452;0,525;0,591;0,667;0,715;0,729;0,84;0,853;0,883;0,926;0,954;0,956;0,975;0,974;0,988;0,992;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"5";NA;2;0,113;0,117;0,13;0,1;0,147;0,132;0,145;0,154;0,183;0,214;0,227;0,256;0,273;0,293;0,329;0,374;0,399;0,411;0,443;0,501;0,55;0,539;0,593;0,625;0,647;0,692;0,714;0,704;0,774;0,76;0,79;0,835;0,824;0,854;0,861;0,867;0,879;0,892;0,906;0,929;0,936;0,932;0,944;0,951;0,97;0,98;0,978;0,975;0,987;0,98;0,993;0,989;0,993;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"6";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";NA;5;0,106;0,104;0,117;0,111;0,113;0,118;0,146;0,136;0,16;0,166;0,229;0,194;0,235;0,264;0,317;0,339;0,34;0,418;0,44;0,456;0,503;0,548;0,59;0,651;0,63;0,667;0,747;0,743;0,767;0,824;0,818;0,857;0,88;0,888;0,916;0,933;0,956;0,956;0,959;0,961;0,98;0,979;0,984;0,984;0,99;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"9";NA;2;0,107;0,1;0,092;0,118;0,111;0,102;0,148;0,136;0,132;0,143;0,154;0,158;0,187;0,219;0,228;0,267;0,281;0,282;0,325;0,354;0,378;0,387;0,385;0,447;0,454;0,504;0,51;0,566;0,569;0,609;0,642;0,672;0,697;0,719;0,747;0,762;0,782;0,808;0,824;0,851;0,865;0,84;0,863;0,891;0,89;0,921;0,916;0,938;0,946;0,943;0,963;0,959;0,974;0,974;0,974;0,987;0,975;0,983;0,991;0,984;0,993;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"10";NA;3;0,097;0,094;0,097;0,119;0,135;0,167;0,217;0,287;0,347;0,367;0,437;0,493;0,576;0,649;0,726;0,786;0,833;0,855;0,87;0,916;0,947;0,96;0,96;0,983;0,983;0,989;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
