"Year";"Low [Curve]";"High [Saturated]"
1985;0,237870419558651;0,310728960564723
1986;0,228043716981123;0,301082101429041
1987;0,253596351840704;0,316446862085427
1988;0,245331207215598;0,309183704288481
1989;0,257021807609879;0,322125082839837
1990;0,287149419014369;0,341511980005064
1991;0,257272426627774;0,314932331276914
1992;0,292279922709927;0,368790507856585
1993;0,326680883971543;0,370178619266951
1994;0,279326567691076;0,326586278850274
1995;0,328851470514398;0,374719718066504
1996;0,282017110801307;0,328649685044336
1997;0,289459297396134;0,331417546297896
1998;0,323511248753518;0,351646255916409
1999;0,260634832715213;0,298894867818779
2000;0,330735833638277;0,354993703278533
2001;0,359231357551903;0,399990015342419
2002;0,326606648576642;0,357615446062821
2003;0,284905200802355;0,325599489348716
2004;0,310746631591256;0,343646097336588
2005;0,303559287705579;0,336403619747571
2006;0,332800740458348;0,358199768890678
2007;0,307199998468802;0,331380147275893
2008;0,274426330612474;0,300830680022451
2009;0,277105850535818;0,302668582009047
2010;0,265366210740999;0,30213936831247
2011;0,268764336416468;0,301545325109477
2012;0,253084463464638;0,278438744039974
2013;0,261777218172023;0,285093971756141
