id;Raw;significance;Computed;sentences500;chjh;jmw;mva;disagree;post_discussion;notes_discussion;final_code
1;F(1, 187) = 4.05, p <.01;significant;0.045606043;) = 5.97, p <.02, and that 11th graders gave more moral justifications than 9th graders ( Ms =.50 and.42, respectively), F(1, 189) = 5.01, p <.03, suggesting that when positive information was given about the target, 9th graders used more conventional and less moral reasoning in making their decisions in both the ambiguous and nonambiguous conditions. Post hoc follow-up analyses of the condition by gender by justification interaction revealed that girls gave more moral justifications than boys, F(1, 187) = 4.05, p <.01, and that boys gave more personal justifications than girls, F(1, 187) = 2.46, p <.02, but only in the ambiguous condition (see Table 6 for means and standard deviations). Gender differences in conventional justifications in the ambiguous condition or in moral, conventional, and personal justifications in the positive nonambiguous condition were not obtained. Further, these analyses revealed that, contrary to expectations, moral justifications were given more in the ambig;3;3;3;0;3;;no expectation
2;F(1, 9)= 6.75, p< .05;significant;0.028829047;puted by adding the strength ratings of all tactics used in the segment and then dividing this sum by the number of tactics used in the segment. This index yielded an average strength for the beginning, an average strength for the middle, and an average strength for the end of each session.Analysis of this index indicated that the strength of tactics directed toward female clients across all three time segments was significantly greater than the strength of tactics directed toward male clients, F(1, 9)= 6.75, p< .05. The average strength of influence tactics, rated on a scale of 1 to 7, directed toward male clients was rated as 4.2 as compared to 4.6 for female clients. This finding held for both male and female therapists. Neither time of session nor therapist gender was associated with strength. DiscussionThe areas explored in the study suggest that the process of therapy can be examined within the context of social power. Individual therapists were consistent in their style or partic;3;3;3;0;3;;no expectation
3;Z= 7.2, p< .001;significant;6.02E+01;sion procedure ( SAS Institute,1989)to adjust for design effects introduced by clustering and weighting of observations. Results Symptom PrevalencesThe lifetime prevalences of the CIDI/ DSM–III–RAlcohol Dependence Criterion A are presented in Table 1.As shown,men in the NCS were twice as likely as women to meet any of these lifetime criteria (38.6% vs. 19.7%, z= 11.6, p< .001),and,among those who met at least one criterion,men endorsed significantly more symptoms than did women (4.1 vs. 3.2, z= 7.2, p< .001). However,the rank-order correlation of criteria prevalences for men and women was quite high ( rs = .96, p< .01),which means that the relative lifetime prevalences of symptoms did not differ by gender. Lifetime Prevalences and Median Ages at Onset of DSM-III-R Alcohol Dependence Criteria A by GenderOn the basis of previous research,we expected the most prevalent lifetime symptoms to be those of abuse. As shown in Table 1,these are among the most prevalent symptoms,with 19.6% of ;3;3;3;0;3;;no expectation
4;F(1, 65) = 17.34, p < .001;significant;9.39E+09;atings of concern for others did not change significantly from T1 to T2 for children at low risk or moderate risk but dropped significantly for those at high risk. Least significant difference (LSD) tests did not show significant risk-group differences within either time point (previously reported at T1 in Zahn-Waxler et al., 1995). Disregard for othersThe four-way ANOVA for the observations of children’s disregard for others revealed main effects of target, F(1, 65) = 8.05, p < .01, and sex, F(1, 65) = 17.34, p < .001, and an interaction of Risk × Sex, F(2, 65) = 4.18, p < .05. Across both time points, children directed more disregard to their mothers than to the experimenters ( Ms = 1.34 and 1.14, SDs = 0.45 and 0.26, respectively). Examining the interaction term with LSD tests revealed that, across both time points, high-risk boys showed more disregard for others ( M = 1.48, SD = 0.26) than did all other children, and moderate-risk boys ( M = 1.28, SD = 0.26) showed more disregard;3;3;3;0;3;;no expectation
5;F(1, 72) = 2.15, p = .147;nonsignificant;0.146923976;t(74) = 1.60, p = .114, and no difference in liking the role, t(74) = 1.15, p = .25. We calculated a 2 (participant gender) × 2 (role: high vs. low power) analysis of variance (ANOVA) with interpersonal sensitivity as the dependent variable. Results showed a significant role main effect in the predicted direction, F(1, 72) = 4.91, p = .03, effect size r = .25, with leaders being more interpersonally sensitive ( M = 0.52) than assistants ( M = 0.43). There was no significant gender main effect, F(1, 72) = 2.15, p = .147, effect size r = .17 ( M women = 0.51, M men = 0.45), and no significant interaction effect, F(1, 72) = 0.18, p = .67, effect size r = .05. DiscussionStudy 1 confirmed our prediction and showed that high-power people were more interpersonally sensitive than low-power people. Because participants inferred the thoughts and feelings of subordinates only, there is possible confounding in Study 1. High-power people might have been more interpersonally sensitive not because th;3;3;3;0;3;;no expectation
6;F(2, 44) = 5.29, p< .01;significant;0.008734161;e contrast of one-on-one and within-group interactions, F(1, 44) = 53.23, p< .01. There were relatively more competitive than cooperative interactions for groups than for one-on-one and within-group interactions and relatively more competitive than cooperative interactions for within-group than for one-on-one interactions. There were statistical interactions also for sex and interaction type, F(2, 44) = 8.16, p< .01, and for sex, interaction type, and cooperative versus competitive interaction, F(2, 44) = 5.29, p< .01. In spite of the sex qualifications, effects for interaction type were still found separately for men, F(2, 22) = 27.44, p< .01, and for women, F(2, 22) = 54.27, p< .01, as also were the statistical interaction of interaction type and cooperative versus competitive interactions for men, F(2, 22) = 25.62, p< .01, and for women, F(2, 22) = 34.44, p< .01. A test of the interaction of sex and cooperative versus competitive interactions separately within each of the three inter;3;3;3;0;3;;no expectation
7;F(2, 235) = 0.94, p = .39;nonsignificant;0.392091545; ( M = 51%, SD = 22%) were less accurate than participants primed with an individual mind-set ( p < .01, M = 61%, SD = 19%) and also less accurate than control participants who were not primed ( p < .05, M = 57%, SD = 17%). While in the expected direction, participants primed with an individual mind-set did not significantly outperform control participants ( p = .12). The effect of priming cultural mind-set on accuracy was not moderated by race–ethnicity, F(4, 233) = 0.05, p = .99, or gender, F(2, 235) = 0.94, p = .39. When cultural mind-set and procedure suited to the task were mismatched, accuracy dropped 10%. These results suggest that performance on important real-world academic tasks is significantly affected by salient cultural mind-set. Performance is undermined when salient cultural mind-set is incongruent with the procedures needed for the task at hand, and these effects are not simply of theoretical importance—they can also result in meaningful differences in performance.A;3;3;3;0;3;;no expectation
8; 2(1, N = 436) =1.30, p > .25;nonsignificant;0.254213224;< .001), reflectinggood convergent validity. The stability coefficients were also large andsignificant ( ps < .001). Theaverage estimates of stability were .80 over 6 months, .64over 12 months, and .52 over 18 months. Gender differences in academic self-concept werenonsignificant. The average variance for the latent variable wasapproximately 9.23 (for boys and girls). Meandifferences were also nonsignificant. The means for girls were only.05 standard deviations smaller than the means for boys,χ 2(1, N = 436) =1.30, p > .25. Reciprocal Predictive RelationshipsTo assess the reciprocal predictive relations among all three latentvariables, we constructed the single larger model, depicted in Figure 4. This modelincorporated all the variables and paths from Submodels 1, 2, and3. We also included cross-lag paths between different constructsat adjacent waves. In this manner, we estimated what we thoughteach construct would predict at time t from the other twoconstructs at time t − 1. Figure ;3;3;3;0;3;;no expectation
9;t(77) = 2.56, p < .05;significant;0.012425258;ins, losses) as the between-participants factors and using percentage correct as the dependent measure. The interaction between chronic focus and reward structure was not statistically significant ( F = .05). We analyzed the other questionnaire data collected during the experimental session. We found several preexisting differences (i.e., prior to the stereotype-relevant task instructions) between men and women in our sample. Women scored higher on the PSWQ ( M = 54.9) than did men ( M = 48.1), t(77) = 2.56, p < .05, and higher on the BAI ( M = 33.7) than did men ( M = 29.3), t(77) = 2.83, p < .05. After the description of the math test, women reported that they expected to like the task less ( M = 6.3) than did men ( M = 7.0), t(77) = 1.97, p = .053. Although we find these differences interesting (and potentially important) we do not try to explain them here. Instead, we use ANCOVA to determine whether the significant gender effects found in the questionnaire data could account for our;3;3;3;0;3;;no expectation
10;F(1, 64) = 6.82, p <.01;significant;0.011217495;nteraction, F(1, 64) = 5.07, p <.05. Simple effects analysis indicated that Latinos in the stereotype threat condition reported significantly more anxiety ( M = 4.05) compared with Latinos in the control condition ( M = 3.14), F(1, 64) = 4.84, p =.05, whereas the stereotype threat manipulation had no effect on self-reported anxiety of Whites ( M = 3.41 in stereotype threat, M = 3.78 in control, F < 1). Test difficultyAnalysis of the perceived difficulty of the test yielded a gender main effect, F(1, 64) = 6.82, p <.01 (women perceived the test to be more difficult, M = 4.37, than did men, M = 3.65), and a marginal Ethnicity × Stereotype Threat interaction, F(1, 64) = 3.66, p <.06. No other effects were significant ( Fs < 1.5). Simple effects tests revealed that Whites ( M = 4.19) and Latinos ( M = 3.99) saw the test as equally difficult in the control condition ( F < 1), whereas Latinos ( M = 4.44) rated the test to be more difficult than did Whites ( M = 3.54) under stereotype threat,;3;3;3;0;3;;no expectation
